Lexical_Feature,Criterion,Spearman_Coefficient,p_value
Exclamatory,L'introduction,0.039848794187779424,0.7092209178121136
Exclamatory,Structure,0.04155789165611993,0.6973428605839483
Exclamatory,Clarté du Langage,0.04250973334477065,0.6907589063632984
Exclamatory,Concision,0.043473613371967715,0.6841150325706062
Passive,Niveau de Langue,0.044639444156394974,0.6761111805341227
Interrogative,Niveau de Langue,0.04748929238632558,0.6566982720505089
Interrogative,L'introduction,0.04909940683578663,0.6458291487192642
Nominal,Concision,0.049264929574600304,0.6447159346984662
Passive,Métaphore,0.049537604419633924,0.6428837819657871
Relative,Structure,0.050358380650084945,0.6373817415559024
Passive,Langage Négatif,0.0567489871012604,0.5952309688108295
Conditional,Langage Négatif,0.05963574797206237,0.5766099751354572
Exclamatory,Voix Passive,0.06351125830131454,0.5520445188123544
Interrogative,Redondance,0.0648080118538942,0.5439391790199808
Declarative,Structure,0.06927542525776427,0.5164690799781392
Conditional,Structure,0.07179107470508514,0.501317607833842
Relative,Global,0.07301835368748397,0.49401074006167545
Relative,L'introduction,0.08208011644765024,0.4418371428925988
Conditional,Créativité du discours,0.08270548542569939,0.43835475521931133
Relative,Persuasivité,0.08472888200042827,0.4271942821203707
Relative,Clarté du Langage,0.08488935685215601,0.42631616976274345
Nominal,Voix Passive,0.08589132700663406,0.4208568760492535
Conditional,Présentation du Sujet,0.08649994457070266,0.4175605740194458
Declarative,Persuasivité,0.08792000196006595,0.40992787915093976
Exclamatory,Niveau de Langue,0.08877196049706282,0.40538806639265357
Interrogative,Clarté du Langage,0.10180106339923532,0.33970259979921913
Relative,Présentation du Sujet,0.10531080624607128,0.3232256916496832
Declarative,La conclusion,0.12094407206457147,0.25616099246825924
Interrogative,Concision,0.1212409906480387,0.25498684279139455
Conditional,Persuasivité,0.12314377443829058,0.24754971765440723
Conditional,Discours,0.12976553745721803,0.22283755338318753
Conditional,Global,0.1390102394183476,0.19131907523207312
Conditional,Clarté du Langage,0.16784724940979953,0.11380461568361619
Declarative,Métaphore,0.17272173327837526,0.10353812586335424
Declarative,Langage Négatif,0.17894752751141316,0.09149461481423941
Conditional,Concision,0.17928249324296905,0.09087943357894668
Declarative,Discours,0.192146669934204,0.06962713817226818
Declarative,Créativité du discours,0.2194892850341038,0.03765685821092967
Conditional,Redondance,0.22133604750520336,0.036037471041143014
